Unique_ID,CloneLine,GS,boxID,age,tray,WID,D_DAY,corr_last_frame_present,died,N_OV,diedBCphase,EYES,coVDBF,H,DTA,DBF,RMSD,
B1_1GG,B,1,B1_1,1,NA,GG,3,1,1,NA,1,NA,[],NaN,NaN,NaN,NaN,
B1_2BB,B,1,B1_2,1,NA,BB,24,3165,1,NA,0,NA,0.74,5.89,NaN,14.79,19.31,
B1_3PP,B,1,B1_3,1,NA,PP,NA,lastframe,0,NA,0,NA,0.87,5.65,NaN,12.45,16.94,
B1_4OO,B,1,B1_4,1,NA,OO,9,979,1,NA,1,NA,0.71,5.68,NaN,17.33,20.73,
B1_5GG,B,1,B1_5,1,NA,GG,42,6049,1,NA,0,NA,0.91,5.91,NaN,11.41,17.54,
B1_6BB,B,1,B1_6,1,NA,BB,NA,lastframe,0,NA,0,NA,0.92,5.92,NaN,13.59,19.37,
B1_7PP,B,1,B1_7,1,NA,PP,NA,lastframe,0,NA,0,NA,0.97,5.62,NaN,11.85,17.06,
B1_8OO,B,1,B1_8,1,NA,OO,NA,lastframe,0,NA,0,NA,0.87,5.78,NaN,13.41,18.65,
B12_1BB,B,12,B12_1,1,NA,BB,NA,lastframe,0,NA,0,NA,0.97,5.40,16.09,8.96,13.72,
B12_1BG,B,12,B12_1,1,NA,BG,NA,lastframe,0,NA,0,NA,0.84,5.61,18.31,11.43,15.80,
B12_1BP,B,12,B12_1,1,NA,BP,NA,lastframe,0,NA,0,NA,0.89,5.62,16.92,10.24,15.57,
B12_1GB,B,12,B12_1,1,NA,GB,NA,lastframe,0,NA,0,NA,0.96,5.26,16.73,9.72,14.70,
B12_1GG,B,12,B12_1,1,NA,GG,NA,lastframe,0,NA,0,NA,0.95,5.53,16.80,9.28,14.78,
B12_1GO,B,12,B12_1,1,NA,GO,27,3655,1,NA,0,NA,0.88,5.63,17.32,10.74,15.66,
B12_1OB,B,12,B12_1,1,NA,OB,NA,lastframe,0,NA,0,NA,0.95,5.46,16.18,9.33,14.50,
B12_1OO,B,12,B12_1,1,NA,OO,NA,lastframe,0,NA,0,NA,0.95,5.39,16.47,10.02,15.00,
B12_1OP,B,12,B12_1,1,NA,OP,NA,lastframe,0,NA,0,NA,0.93,5.49,17.24,10.26,15.43,
B12_1PG,B,12,B12_1,1,NA,PG,NA,lastframe,0,NA,0,NA,0.94,5.54,16.80,9.86,14.90,
B12_1PO,B,12,B12_1,1,NA,PO,NA,lastframe,0,NA,0,NA,0.91,5.59,17.60,10.12,15.48,
B12_1PP,B,12,B12_1,1,NA,PP,NA,lastframe,0,NA,0,NA,0.96,5.52,16.50,9.09,14.79,
B12_2BB,B,12,B12_2,1,NA,BB,NA,lastframe,0,NA,0,NA,0.92,5.62,18.53,10.44,15.87,
B12_2BG,B,12,B12_2,1,NA,BG,NA,lastframe,0,NA,0,NA,0.92,5.61,18.05,10.05,15.04,
B12_2BP,B,12,B12_2,1,NA,BP,NA,lastframe,0,NA,0,NA,0.91,5.65,18.27,9.97,15.26,
B12_2GB,B,12,B12_2,1,NA,GB,42,6049,1,NA,0,NA,1.05,5.38,16.89,7.47,13.21,
B12_2GG,B,12,B12_2,1,NA,GG,NA,lastframe,0,NA,0,NA,0.97,5.47,17.80,9.89,15.67,
B12_2GO,B,12,B12_2,1,NA,GO,NA,lastframe,0,NA,0,NA,1.06,5.52,17.49,8.08,14.37,
B12_2OB,B,12,B12_2,1,NA,OB,NA,lastframe,0,NA,0,NA,1.04,5.46,17.57,8.15,14.41,
B12_2OO,B,12,B12_2,1,NA,OO,NA,lastframe,0,NA,0,NA,0.93,5.55,18.40,10.31,16.19,
B12_2OP,B,12,B12_2,1,NA,OP,NA,lastframe,0,NA,0,NA,0.96,5.51,17.56,9.60,15.39,
B12_2PG,B,12,B12_2,1,NA,PG,NA,lastframe,0,NA,0,NA,0.95,5.59,18.30,9.76,15.84,
B12_2PO,B,12,B12_2,1,NA,PO,NA,lastframe,0,NA,0,NA,0.89,5.65,18.82,10.85,16.53,
B12_2PP,B,12,B12_2,1,NA,PP,NA,lastframe,0,NA,0,NA,0.92,5.65,18.55,10.27,15.72,
B12_3BB,B,12,B12_3,1,NA,BB,NA,lastframe,0,NA,0,NA,[],NaN,NaN,NaN,NaN,
B12_3BG,B,12,B12_3,1,NA,BG,NA,lastframe,0,NA,0,NA,0.82,5.54,22.07,11.25,18.16,
B12_3BO,B,12,B12_3,1,NA,BO,NA,lastframe,0,NA,0,NA,[],NaN,NaN,NaN,NaN,
B12_3GG,B,12,B12_3,1,NA,GG,NA,lastframe,0,NA,0,NA,0.85,5.73,21.01,11.47,16.69,
B12_3GP,B,12,B12_3,1,NA,GP,NA,lastframe,0,NA,0,NA,0.85,5.69,19.85,10.89,15.41,
B12_3OB,B,12,B12_3,1,NA,OB,NA,lastframe,0,NA,0,NA,0.82,5.75,20.86,11.67,17.26,
B12_3OG,B,12,B12_3,1,NA,OG,NA,lastframe,0,NA,0,NA,0.86,5.57,19.85,11.51,15.68,
B12_3OO,B,12,B12_3,1,NA,OO,NA,lastframe,0,NA,0,NA,0.82,5.67,19.90,11.50,15.87,
B12_3PB,B,12,B12_3,1,NA,PB,NA,lastframe,0,NA,0,NA,0.77,5.73,20.86,11.93,17.26,
B12_3PG,B,12,B12_3,1,NA,PG,NA,lastframe,0,NA,0,NA,0.78,5.79,21.74,12.66,17.83,
B12_3PO,B,12,B12_3,1,NA,PO,NA,lastframe,0,NA,0,NA,0.88,5.57,19.57,10.19,15.14,
B12_3PP,B,12,B12_3,1,NA,PP,9,979,1,NA,1,NA,0.89,5.57,24.70,13.01,20.55,
B12_4BB,B,12,B12_4,1,NA,BB,NA,lastframe,0,NA,0,NA,[],NaN,NaN,NaN,NaN,
B12_4BG,B,12,B12_4,1,NA,BG,NA,lastframe,0,NA,0,NA,0.89,5.62,17.41,8.75,14.36,
